# 自定义优先规则词表（PriorityWords）配置说明
# 编码格式：必须使用 UTF-8 编码存储
# 匹配机制：处理时采用【大小写敏感】的精确比对

# 【一、 基础语法格式】
# 格式要求：词条 [Tab分隔符] 拼音
# 如：你好	ni hao
# 1. 每行只能配置一个词条
# 2. 词条与读音之间使用单个Tab 键进行分隔 
# 3. 汉字拼音中的每个字拼音音节之间必须使用单个空格进行分隔，如ni hao
# 4. 支持使用 '#' 作为注释行的开头，允许使用空格排版，注释行不允许tab键，具体语法参考本页注释写法
# 5. 自动忽略空行、纯空格或tab行

# 【二、 重要注意事项】

# 1. 仅支持【纯中文词条】的注音
# 2. 不支持任何包含英文字母、数字或混合符号的词条。输入不会出现报错，但转换结果与预期不一致会出现谬误
# 3. 若本表中存在完全相同的词条，即保留第一条配置作为读音，默认忽略后续的重复词条
# 4. 此优先规则词表非强制要求搭配程序运行，但推荐配合使用。所有词条规则可自定义按需增删修改，预写规则用于辅助增强直接使用或作为自定义修改基础范本。



好逸恶劳	hao yi wu lao
侥幸	jiao xing
血泊	xue po
吐血	tu xie
咯血	ka xie
验血	yan xie
血淋淋	xie lin lin
一滴血	yi di xie
强调	qiang diao
单调	dan diao
倔强	jue jiang
都得	dou dei
孟山都	meng shan du
都市	du shi
都城	du cheng
成都	cheng du
都匀	du yun
古都	gu du
故都	gu du
都江堰	du jiang yan
京都	jing du
帝都	di du
魔都	mo du
雾都	wu du
仙都	xian du
花都	hua du
暖和	nuan huo
掺和	chan huo
软和	ruan huo
搅和	jiao huo
和稀泥	huo xi ni
哽咽	geng ye
呜咽	wu ye
幽咽	you ye
凝咽	ning ye
咽哑	ye ya
咽泣	ye qi
悲咽	bei ye
磅礴	pang bo
圈养	juan yang
猪圈	zhu juan
羊圈	yang juan
绰起	chao qi
呢喃	ni nan
毛呢	mao ni
咋舌	ze she
咋呼	zha hu
慰藉	wei jie
崆峒	kong tong
抹布	ma bu
抹脸	ma lian
抹手	ma shou
抹下	ma xia
抹澡	ma zao
抹桌	ma zhuo
躯壳	qu qiao
脱壳	tuo qiao
甲壳	jia qiao
弹壳	dan ke
汤匙	tang chi
茶匙	cha chi
一匙	yi chi
似的	shi de
盛满	cheng man
盛饭	cheng fan
盛汤	cheng tang
盛器	cheng qi
盛殓	cheng lian
扒手	pa shou
反扒	fan pa
扒窃	pa qie
扒灰	pa hui
吃里扒外	chi li pa wai
果脯	guo fu
肉脯	rou fu
哪吒	ne zha
测度	ce duo
揣度	chuai duo
猜度	cai duo
裁度	cai duo
揆度	kui duo
忖度	cun duo
审时度势	shen shi duo shi
以己度人	yi ji duo ren
度德量力	duo de liang li
度君子之腹	duo jun zi zhi fu
臂膀	bi bang
膀臂	bang bi
左膀右臂	zuo bang you bi
胳臂	ge bei
扁舟	pian zhou
拗口	ao kou
违拗	wei ao
拗断	ao duan
藏青	zang qing
藏蓝	zang lan
藏香	zang xiang
藏地	zang di
地藏	di zang
经藏	jing zang
藏经	zang jing
释藏	shi zang
道藏	dao zang
大藏经	da zang jing
着色	zhuo se
套色	tao shai
色子	shai zi
袅娜	niao nuo
婀娜	e nuo
归降	gui xiang
投降	tou xiang
降龙	xiang long
降服	xiang fu
降伏	xiang fu
劝降	quan xiang
降魔	xiang mo
诈降	zha xiang
降将	xiang jiang
诱降	you xiang
拱手而降	gong shou er xiang
一物降一物	yi wu xiang yi wu
提防	di fang
雪茄	xue jia
霓裳	ni chang
游说	you shui
说客	shui ke
什锦	shi jin
布什	bu shi
什叶派	shi ye pai
劳什子	lao shi zi
什邡市	shi fang shi
克什米尔	ke shi mi er
布尔什维克	bu er shi wei ke
单于	chan yu
屏息	bing xi
屏气	bing qi
亲家	qing jia
轧死	ya si
倾轧	qing ya
女红	nv gong
勒紧	lei jin
勒死	lei si
勒住	lei zhu
封禅	feng shan
禅让	shan rang
大伯子	da bai zi
纤夫	qian fu
拉纤	la qian
刨冰	bao bing
刨花	bao hua
老朴	lao piao
朴刀	po dao
小朴	xiao piao
朴硝	po xiao
厚朴	hou po
会计	kuai ji
财会	cai kuai
解数	xie shu
卖解	mai xie
稽首	qi shou
尿泡	sui pao
拶指	zan zhi
攒机	cuan ji
人头攒动	ren tou cuan dong
万头攒动	wan tou cuan dong
臧否	zang pi
否极	pi ji
否来	pi lai
否卦	pi gua
小畜	xiao xu
大畜	da xu
人参	ren shen
海参	hai shen
石参	shi shen
洋参	yang shen
参芪	shen qi
丹参	dan shen
党参	dang shen
山参	shan  shen
园参	yuan shen
红参	hong shen
白参	bai shen
沙参	sha shen
玄参	xuan shen
参苓	shen ling
参术	shen zhu
参附	shen fu
参归	shen gui
参胡	shen hu
参芥	shen jie
参橘	shen ju
苦参	ku shen
紫参	zi shen
板参	ban shen
拳参	quan shen
参商	shen shang
莪术	e zhu
白术	bai zhu
苍术	cang zhu
参错	cen cuo
峨参	e shen
参横	shen heng
参苏	shen su
阳参	yang shen
川参	chuan shen
花参	hua shen
黑参	hei shen
麻参	ma shen
麦参	mai shen
参麦	shen mai
奶参	nai shen
牛参	niu shen
热参	re shen
参芦	shen lu
团参	tuan shen
参香	shen xiang
土参	tu shen
童参	tong shen
参茯	shen fu
参茸	shen rong
参赭	shen zhe
参须	shen xu
参叶	shen ye
迦叶	jia she
掌参	zhang shen
辽参	liao shen
诸参	zhu shen
珠儿参	zhu er shen
珠参	zhu shen
瓦参	wa shen
窝儿参	wo er shen
葳参	wei shen
西参	xi shen
杏参	xing shen
仙茅参	xian mao shen
血参	xue shen
虾参	xia shen
银条参	yin tiao shen
阴阳参	yin yang shen
移山参	yi shan shen
元参	yuan shen
螵蛸	piao xiao
蛤蚧	ge jie
莎草	suo cao
桔梗	jie geng
酢浆	cu jiang
酬酢	chou zuo
枸橼	ju yuan
伽蓝	qie lan
僧伽	seng qie
伽南香	qie nan xiang
伽马	ga ma
般若	bo re
仿佛	fang fu
佛戾	fu li
释迦牟尼	shi jia mu ni
加被	jia pi
梵呗	fan bai
乍爇	zha ruo
茜草	qian cao
莨菪	lang dang
枸杞	gou qi
珠儿参	zhu er shen
竹节参	zhu jie shen
竹根参	zhu gen shen
参三七	shen san qi
四叶参	si ye shen
鸡爪参	ji zhao shen
毛爪参	mao zhao shen
莱阳参	lai yang shen
华山参	hua shan shen
佛手参	fo shou shen
太白参	tai bai shen
天竺参	tian zhu shen
牛尾参	niu wei shen
盘龙参	pan long shen
兰花参	lan hua shen
蓝花参	lan hua shen
青羊参	qing yang shen
青阳参	qing yang shen
吉林参	ji lin shen
浮萍参	fu ping shen
还阳参	huan yang shen
黄花参	huang hua shen
黄连参	huang lian shen
黑阳参	hei yang shen
参与商	shen yu shang
别直参	bie zhi shen
孩儿参	hai er shen
太子参	tai zi shen
拐棍参	guai gun shen
高丽参	gao li shen
花旗参	hua qi shen
未雨绸缪	wei yu chou mou
铤而走险	ting er zou xian
引吭高歌	yin hang gao ge
执著	zhi zhuo
南无线	nan wu xian
无南无北	wu nan wu bei
江南无路	jiang nan wu lu
南无	na mo
呱呱坠地	gu gu zhui di
呱呱而泣	gu gu er qi
迫击炮	pai ji pao
仡佬族	ge lao zu
查良镛	zha liang yong
黄澄澄	huang deng deng
拾级而上	she ji er shang
羽扇纶巾	yu shan guan jin
心宽体胖	xin kuan ti pan
兔起鹘落	tu qi hu luo
心广体胖	xin guang ti pan
箪食瓢饮	dan si piao yin
拔山扛鼎	ba shan gang ding
子弹	zi dan
弹弓	dan gong
弹药	dan yao
弹无虚发	dan wu xu fa
弹尽粮绝	dan jin liang jue
枪林弹雨	qiang lin dan yu
导弹	dao dan
榴弹	liu dan
炮弹	pao dan
枪弹	qiang dan
弹丸	dan wan
霰弹	xian dan
弹头	dan tou
弹膛	dan tang
防弹	fang dan
氢弹	qing dan
投弹	tou dan
信号弹	xin hao dan
催泪弹	cui lei dan
弹子	dan zi
炸弹	zha dan
弹道	dan dao
故地重游	gu di chong you
地壳	di qiao
地参	di shen
窨井	yin jing
剥皮	bao pi
剥削	bo xue
